"Munícipio","Região Administrativa","Ano","Porte","i-Educ","i-Saúde","i-Planejamento","i-Fiscal","i-Amb","i-Cidade","i-Gov-TI","IEGM","Receita","Despesa","Habitantes"
"Altair","Região Administrativa de Barretos","2016","Muito Pequeno","B","B+","C","B+","B","C","C+","C","R$ 18,535,414.08","R$ 18,582,016.19","3951"
"Altair","Região Administrativa de Barretos","2014","Muito Pequeno","A","B+","C","B+","C+","B","C+","B","R$ 16,256,929.47","R$ 16,572,167.86","3907"
"Altair","Região Administrativa de Barretos","2017","Muito Pequeno","C","B","C","B","B","C+","C","C+","R$ 19,322,693.50","R$ 19,410,760.45","4109"
"Altinópolis","Região Administrativa de Ribeirão Preto","2014","Pequeno","A","B","C+","B+","B","C","C+","B","R$ 67,598,649.10","R$ 61,204,115.87","15571"
"Altinópolis","Região Administrativa de Ribeirão Preto","2017","Pequeno","B+","B+","C","B","B","C","B","B","R$ 65,867,139.91","R$ 55,635,920.69","16219"
"Altinópolis","Região Administrativa de Ribeirão Preto","2016","Pequeno","B+","B+","B+","B+","B","C","B","B+","R$ 66,824,807.72","R$ 58,264,889.78","15560"
"Altinópolis","Região Administrativa de Ribeirão Preto","2015","Pequeno","B+","B+","C","B+","B","C","B+","B","R$ 57,789,657.44","R$ 53,548,608.10","15562"
"Alto Alegre","Região Administrativa de Araçatuba","2016","Muito Pequeno","C+","B+","B","B+","B+","C+","C","B","R$ 18,238,981.42","R$ 18,475,310.94","4057"
"Alto Alegre","Região Administrativa de Araçatuba","2015","Muito Pequeno","C","B","B+","B+","C+","C","C","B","R$ 16,554,664.07","R$ 15,975,108.76","4067"
"Alto Alegre","Região Administrativa de Araçatuba","2014","Muito Pequeno","B+","B+","B+","B","B","B","C","B","R$ 16,209,340.18","R$ 17,842,538.63","4074"
"Alto Alegre","Região Administrativa de Araçatuba","2017","Muito Pequeno","B","B","C","B","B","B","C","C+","R$ 18,876,160.04","R$ 18,236,222.71","4154"
"Alumínio","Região Administrativa de Sorocaba","2016","Pequeno","B","B","C","B","B+","B","B","B","R$ 69,805,847.43","R$ 73,293,295.92","17525"
"Alumínio","Região Administrativa de Sorocaba","2014","Pequeno","B+","B","C","B+","C","C+","C+","C","R$ 47,825,221.49","R$ 48,435,764.87","17296"
"Alumínio","Região Administrativa de Sorocaba","2015","Pequeno","B","B","B","B+","B+","A","C+","B","R$ 61,322,600.08","R$ 61,028,917.54","17415"
"Alumínio","Região Administrativa de Sorocaba","2017","Pequeno","B","C","C","C","B","C+","B","C","R$ 66,217,485.71","R$ 72,572,583.72","18324"
"Alvinlândia","Região Administrativa de Marília","2017","Muito Pequeno","B","A","C","B","B+","B","C","B","R$ 13,213,046.68","R$ 12,940,543.98","3196"
"Alvinlândia","Região Administrativa de Marília","2016","Muito Pequeno","C+","C+","B","B+","A","C","C","B","R$ 13,612,834.76","R$ 13,376,720.74","3109"
"Alvinlândia","Região Administrativa de Marília","2015","Muito Pequeno","B+","B+","C+","B","B+","C","C","B","R$ 12,801,123.79","R$ 12,427,238.08","3093"
"Alvinlândia","Região Administrativa de Marília","2014","Muito Pequeno","B+","A","C","B","B","C","B","B","R$ 11,770,147.06","R$ 12,219,495.73","3074"
"Americana","Região Administrativa de Campinas","2017","Grande","C+","B","C+","C+","B","B+","B+","B","R$ 718,565,095.52","R$ 709,743,811.10","233868"
"Americana","Região Administrativa de Campinas","2015","Grande","B","B+","C","C+","B+","A","B","C+","R$ 590,846,282.34","R$ 675,275,648.35","223160"
"Americana","Região Administrativa de Campinas","2016","Grande","B+","B+","C","C","B+","A","B","B","R$ 633,841,175.10","R$ 683,456,349.52","225183"
"Americana","Região Administrativa de Campinas","2014","Grande","B","B+","C","C+","A","B+","C+","C+","R$ 607,635,375.18","R$ 779,793,021.93","220545"
"Amparo","Região Administrativa de Campinas","2016","Médio","B","B+","C","B+","B","B","B","B","R$ 230,203,802.46","R$ 225,321,253.81","68260"
"Amparo","Região Administrativa de Campinas","2014","Médio","B+","B+","C","B+","B","B","B","B","R$ 203,635,111.23","R$ 211,436,340.67","67486"
"Amparo","Região Administrativa de Campinas","2017","Médio","C+","B","C+","B","B","B+","B","B","R$ 238,573,227.06","R$ 240,727,954.22","71193"
"Amparo","Região Administrativa de Campinas","2015","Médio","B","B","C","B","B","B+","B","B","R$ 209,301,696.18","R$ 237,659,903.33","67919"
"Américo Brasiliense","Região Administrativa Central","2014","Médio","A","A","B+","B+","C+","B+","B","B+","R$ 77,059,757.21","R$ 80,453,619.23","36861"
"Américo Brasiliense","Região Administrativa Central","2017","Médio","B","B","B","C+","B","B+","C+","B","R$ 91,000,571.15","R$ 100,799,164.38","39189"
"Américo Brasiliense","Região Administrativa Central","2016","Médio","B+","B+","B+","B","C","C","B","B+","R$ 90,366,344.57","R$ 88,182,532.90","38030"
"Américo Brasiliense","Região Administrativa Central","2015","Médio","B","A","B","B+","B","B+","C","B+","R$ 80,571,748.14","R$ 80,516,621.58","37497"
"Américo de Campos","Região Administrativa de São José do Rio Preto","2014","Pequeno","B+","B+","A","B","B","B","B","B+","R$ 18,867,910.01","R$ 20,077,281.17","5726"
"Américo de Campos","Região Administrativa de São José do Rio Preto","2017","Pequeno","B","B","C+","C+","C+","C","C","B","R$ 20,491,660.02","R$ 21,406,830.23","5967"
"Américo de Campos","Região Administrativa de São José do Rio Preto","2015","Pequeno","B","B+","B","B","C","C","C","B","R$ 18,618,964.99","R$ 18,964,777.02","5731"
"Américo de Campos","Região Administrativa de São José do Rio Preto","2016","Pequeno","C+","A","B+","A","C+","C","C","B","R$ 20,493,023.49","R$ 19,300,619.39","5732"
"Analândia","Região Administrativa de Campinas","2014","Muito Pequeno","C+","B","C","B+","C","C+","C","C+","R$ 22,599,540.08","R$ 24,416,710.46","4530"
"Analândia","Região Administrativa de Campinas","2017","Muito Pequeno","C","B","C","C+","C","C","C","C","R$ 27,901,654.02","R$ 30,967,551.30","4845"
"Analândia","Região Administrativa de Campinas","2015","Muito Pequeno","C+","B+","C","B","C","C","C","C+","R$ 24,915,643.50","R$ 24,928,663.32","4593"
"Analândia","Região Administrativa de Campinas","2016","Muito Pequeno","C","B+","C+","B","B","C","C","C+","R$ 25,444,522.46","R$ 26,772,097.82","4643"
"Andradina","Região Administrativa de Araçatuba","2015","Médio","B","B","B","B","A","B","C","B","R$ 140,446,016.52","R$ 142,304,431.47","55775"
"Andradina","Região Administrativa de Araçatuba","2016","Médio","B+","B+","B","B+","A","A","C+","B+","R$ 156,118,667.98","R$ 142,620,862.40","55831"
"Andradina","Região Administrativa de Araçatuba","2014","Médio","B+","B+","B+","B","A","A","B","B+","R$ 128,639,016.27","R$ 156,561,928.82","55687"
"Andradina","Região Administrativa de Araçatuba","2017","Médio","B","B","B","B+","A","C+","C+","B","R$ 150,050,429.64","R$ 147,353,217.07","57350"
"Angatuba","Região Administrativa de Itapeva","2016","Médio","B","B","B","B","B+","C","C","B","R$ 69,887,141.09","R$ 73,844,985.87","23586"
"Angatuba","Região Administrativa de Itapeva","2017","Médio","C+","C+","C","B","B+","C","B","C+","R$ 73,307,396.21","R$ 67,670,719.97","24634"
"Angatuba","Região Administrativa de Itapeva","2014","Médio","B+","B+","C","B","B+","B","C+","B","R$ 67,202,042.72","R$ 69,706,972.07","23122"
"Angatuba","Região Administrativa de Itapeva","2015","Médio","B+","B","C","B","B+","C+","C","B","R$ 65,395,816.93","R$ 67,214,870.63","23362"
"Anhembi","Região Administrativa de Sorocaba","2014","Pequeno","B+","B+","C","B","B+","C","C+","B","R$ 27,913,318.01","R$ 29,080,973.98","6063"
"Anhembi","Região Administrativa de Sorocaba","2017","Pequeno","B","B","C","C+","C+","C","C","C+","R$ 27,674,420.70","R$ 29,907,984.78","6484"
"Anhembi","Região Administrativa de Sorocaba","2016","Pequeno","B+","B","C","B","C+","C","C","C+","R$ 29,095,816.99","R$ 29,759,623.65","6269"
"Anhembi","Região Administrativa de Sorocaba","2015","Pequeno","B+","B","C","B","B+","C","C","B","R$ 30,015,310.35","R$ 29,166,943.86","6172"
"Anhumas","Região Administrativa de Presidente Prudente","2015","Muito Pequeno","B+","B+","C","B","A","C","C","B","R$ 15,828,178.41","R$ 18,379,821.03","3856"
"Anhumas","Região Administrativa de Presidente Prudente","2017","Muito Pequeno","B","B+","C","C+","B+","C","C","C+","R$ 17,330,264.01","R$ 17,614,836.72","4053"
"Anhumas","Região Administrativa de Presidente Prudente","2016","Muito Pequeno","B","B+","C","B","A","C+","C","B","R$ 18,037,717.35","R$ 19,480,461.22","3877"
"Anhumas","Região Administrativa de Presidente Prudente","2014","Muito Pequeno","A","A","B","B+","B+","C","C","B+","R$ 15,841,679.91","R$ 16,043,902.38","3831"
"Aparecida","Região Administrativa de São José dos Campos","2016","Médio","C+","B","C","B","C+","B","C","C+","R$ 120,881,102.82","R$ 125,063,884.13","35432"
"Aparecida","Região Administrativa de São José dos Campos","2015","Médio","B","A","C","B","B+","A","C","B","R$ 107,466,646.71","R$ 106,901,584.29","35363"
"Aparecida","Região Administrativa de São José dos Campos","2017","Médio","C","B","C","C+","B","B","C+","C","R$ 119,964,173.83","R$ 116,896,069.41","36279"
"Aparecida","Região Administrativa de São José dos Campos","2014","Médio","B+","A","C","B","B+","B","B","B","R$ 104,909,407.10","R$ 106,400,515.99","35292"
"Aparecida d'Oeste","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","A","B","B","B+","B","C","C","B","R$ 18,074,089.51","R$ 18,508,929.11","4317"
"Aparecida d'Oeste","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","B","B+","B","B","B","C","C","B","R$ 17,494,077.55","R$ 17,511,537.51","4253"
"Aparecida d'Oeste","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","B","B+","C","C","C+","C","C","C+","R$ 17,273,711.77","R$ 17,744,292.41","4329"
"Aparecida d'Oeste","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","B","B+","B","B","B+","C","C","B","R$ 16,190,993.60","R$ 16,215,207.41","4283"
"Apiaí","Região Administrativa de Itapeva","2015","Médio","B+","B","C","B","C+","A","B+","B","R$ 54,609,407.69","R$ 64,428,758.68","24703"
"Apiaí","Região Administrativa de Itapeva","2014","Médio","A","B+","C","B","C+","C+","C+","B","R$ 53,758,009.93","R$ 59,294,225.03","24803"
"Apiaí","Região Administrativa de Itapeva","2017","Médio","C","C+","C+","C+","C","B","B","C+","R$ 64,088,618.60","R$ 65,066,660.80","24945"
"Apiaí","Região Administrativa de Itapeva","2016","Médio","B","C+","C","B","C+","A","C","C+","R$ 63,158,994.07","R$ 62,180,337.32","24695"
"Aramina","Região Administrativa de Franca","2014","Pequeno","B+","B+","A","B+","C+","C","C","B+","R$ 19,466,366.04","R$ 20,797,005.64","5301"
"Aramina","Região Administrativa de Franca","2015","Pequeno","C+","A","B+","B","C","C","C","B","R$ 18,329,133.96","R$ 20,889,607.28","5340"
"Aramina","Região Administrativa de Franca","2017","Pequeno","C","B","C+","C","B+","C","B","C+","R$ 21,253,040.00","R$ 21,844,427.60","5552"
"Aramina","Região Administrativa de Franca","2016","Pequeno","C","A","B+","B","C","C","B","B","R$ 21,937,593.31","R$ 20,605,904.99","5371"
"Arandu","Região Administrativa de Itapeva","2016","Pequeno","B+","B","C+","B","C","C","C","B","R$ 27,348,695.12","R$ 24,799,038.72","6144"
"Arandu","Região Administrativa de Itapeva","2014","Pequeno","A","B","C","B+","C","C","C","B","R$ 23,951,663.08","R$ 23,491,365.10","6135"
"Arandu","Região Administrativa de Itapeva","2015","Pequeno","B","B","B","B+","C","C","C","B","R$ 24,744,004.32","R$ 24,053,869.91","6138"
"Arandu","Região Administrativa de Itapeva","2017","Pequeno","B+","C+","C","C","C","C+","C","C","R$ 27,525,622.43","R$ 30,414,499.06","6368"
"Arapeí","Região Administrativa de São José dos Campos","2017","Muito Pequeno","C","C+","C","C+","C","C","C","C","R$ 13,308,693.84","R$ 13,284,054.62","2509"
"Arapeí","Região Administrativa de São José dos Campos","2015","Muito Pequeno","C+","B+","C","B","C","B+","C","C+","R$ 11,688,188.18","R$ 11,285,229.32","2472"
"Arapeí","Região Administrativa de São José dos Campos","2014","Muito Pequeno","B","B+","C","B","C","C","C","C+","R$ 11,676,842.00","R$ 11,865,513.48","2477"
"Arapeí","Região Administrativa de São José dos Campos","2016","Muito Pequeno","C","B+","C","B+","C","B+","C","C+","R$ 13,683,595.25","R$ 12,393,797.88","2471"
"Araraquara","Região Administrativa Central","2015","Grande","B+","B+","C","B","A","B+","B","B","R$ 671,356,682.44","R$ 649,200,952.67","219631"
"Araraquara","Região Administrativa Central","2017","Grande","B+","B+","C","C+","B+","B+","B","B","R$ 762,720,866.12","R$ 783,092,889.96","230770"
"Araraquara","Região Administrativa Central","2016","Grande","B+","B+","C","B+","A","A","B","B","R$ 744,128,120.52","R$ 719,678,129.21","221205"
"Araraquara","Região Administrativa Central","2014","Grande","A","B+","C+","B","B+","A","B","B+","R$ 627,371,200.45","R$ 672,265,428.72","217343"
"Araras","Região Administrativa de Campinas","2016","Médio","A","B","B","B+","B+","B+","B","B+","R$ 469,179,438.53","R$ 461,880,877.10","126338"
"Araras","Região Administrativa de Campinas","2017","Médio","B","B","B","B","B+","B","B+","B","R$ 506,468,595.60","R$ 472,762,518.26","131282"
"Araras","Região Administrativa de Campinas","2015","Médio","A","B","B","B+","B","B+","B","B+","R$ 421,521,426.59","R$ 423,735,717.07","125185"
"Araras","Região Administrativa de Campinas","2014","Médio","B+","B+","A","B+","B","B","B","B+","R$ 403,137,741.76","R$ 390,581,544.79","123863"
"Araçariguama","Região Administrativa de Sorocaba","2015","Pequeno","B","B","C","B","C","A","C","C+","R$ 86,472,079.64","R$ 83,656,176.69","19138"
"Araçariguama","Região Administrativa de Sorocaba","2017","Médio","C+","C","C","C+","C","B+","B","C","R$ 100,177,065.24","R$ 98,903,723.56","21038"
"Araçariguama","Região Administrativa de Sorocaba","2014","Pequeno","B+","B","C","B","C","B+","C","B","R$ 82,619,242.75","R$ 80,159,236.59","18694"
"Araçariguama","Região Administrativa de Sorocaba","2016","Pequeno","B","B","C","B","C","A","C","C+","R$ 93,518,659.25","R$ 92,512,144.19","19493"
"Araçatuba","Região Administrativa de Araçatuba","2016","Médio","B+","A","C","B","C+","B+","B+","B","R$ 481,371,912.87","R$ 482,370,344.71","187313"
"Araçatuba","Região Administrativa de Araçatuba","2017","Médio","B","C+","C","B","B","B+","B+","C+","R$ 482,918,972.85","R$ 489,799,655.07","194874"
"Araçatuba","Região Administrativa de Araçatuba","2015","Médio","B+","A","C","B","B","B+","B+","B","R$ 438,528,682.73","R$ 444,708,842.59","186533"
"Araçatuba","Região Administrativa de Araçatuba","2014","Médio","B+","B+","C","B","B","A","C+","B","R$ 411,532,165.87","R$ 442,225,623.82","185509"
"Araçoiaba da Serra","Região Administrativa de Sorocaba","2015","Médio","B+","B","B","B+","B","B+","B","B","R$ 76,297,740.50","R$ 78,505,449.26","29907"
"Araçoiaba da Serra","Região Administrativa de Sorocaba","2016","Médio","B+","C+","B+","B+","C+","C+","C+","B","R$ 84,183,537.76","R$ 87,292,935.67","30388"
"Araçoiaba da Serra","Região Administrativa de Sorocaba","2014","Médio","A","B+","B+","B+","C+","C","B","B+","R$ 73,395,592.69","R$ 73,804,047.21","29351"
"Araçoiaba da Serra","Região Administrativa de Sorocaba","2017","Médio","B","B","C","B","B","B+","B","C+","R$ 91,947,901.08","R$ 82,577,976.35","32495"
"Arco-Íris","Região Administrativa de Marília","2014","Muito Pequeno","B+","B+","B","A","C+","B","B","B+","R$ 11,662,198.30","R$ 11,808,448.10","1871"
"Arco-Íris","Região Administrativa de Marília","2015","Muito Pequeno","B+","A","B","B+","B+","C","C+","B+","R$ 11,213,601.94","R$ 11,201,010.09","1857"
"Arco-Íris","Região Administrativa de Marília","2016","Muito Pequeno","B+","B","C","B+","B","B","B","B","R$ 12,540,727.07","R$ 12,402,491.73","1849"
"Arco-Íris","Região Administrativa de Marília","2017","Muito Pequeno","C+","C","C+","B+","B","B+","B","B","R$ 12,593,190.14","R$ 12,391,605.73","1856"
"Arealva","Região Administrativa de Bauru","2017","Pequeno","C+","B","C","B+","C","C","C+","C","R$ 24,871,599.47","R$ 23,704,692.54","8452"
"Arealva","Região Administrativa de Bauru","2016","Pequeno","C","B","B","B+","C","C","C","C+","R$ 23,327,057.67","R$ 24,541,460.13","8060"
"Arealva","Região Administrativa de Bauru","2015","Pequeno","B","B+","B","B+","C","C","C","B","R$ 24,063,775.69","R$ 24,291,387.16","8027"
"Arealva","Região Administrativa de Bauru","2014","Pequeno","B+","B+","B+","B+","C+","C","C","B+","R$ 23,858,946.48","R$ 25,231,223.88","7988"
"Areias","Região Administrativa de São José dos Campos","2014","Muito Pequeno","B+","A","C","B+","C","A","C","B","R$ 15,069,126.25","R$ 14,249,996.56","3743"
"Areias","Região Administrativa de São José dos Campos","2017","Muito Pequeno","C","B","C","C+","C","B+","C","C","R$ 15,200,196.18","R$ 15,918,976.97","3879"
"Areias","Região Administrativa de São José dos Campos","2015","Muito Pequeno","B+","A","C","B+","C","B+","C","B","R$ 13,959,253.82","R$ 14,171,130.96","3754"
"Areias","Região Administrativa de São José dos Campos","2016","Muito Pequeno","B","B+","C","B+","C","C+","C","B","R$ 15,388,337.45","R$ 15,309,808.28","3772"
"Areiópolis","Região Administrativa de Sorocaba","2016","Pequeno","B","B","C","B","C","C","C+","C+","R$ 27,929,576.50","R$ 29,870,377.11","10719"
"Areiópolis","Região Administrativa de Sorocaba","2015","Pequeno","B","C+","C","B","C","C","C","C+","R$ 27,040,556.56","R$ 28,478,224.24","10684"
"Areiópolis","Região Administrativa de Sorocaba","2017","Pequeno","C","B","C","C+","C","C","C","C","R$ 28,671,743.73","R$ 27,659,505.88","11107"
"Areiópolis","Região Administrativa de Sorocaba","2014","Pequeno","C+","C+","B","B","C","C","C+","C","R$ 27,392,252.94","R$ 27,158,583.08","10662"
"Ariranha","Região Administrativa de São José do Rio Preto","2015","Pequeno","B+","B+","B+","B","B","C","C","B","R$ 33,911,464.04","R$ 36,766,033.40","8953"
"Ariranha","Região Administrativa de São José do Rio Preto","2016","Pequeno","C","B","B+","B","B","C","C","B","R$ 37,395,152.74","R$ 39,616,099.41","9025"
"Ariranha","Região Administrativa de São José do Rio Preto","2017","Pequeno","B","B","B+","C+","B","C","C+","B","R$ 40,601,777.28","R$ 39,791,848.63","9451"
"Ariranha","Região Administrativa de São José do Rio Preto","2014","Pequeno","B+","B+","B+","B","B+","C","C+","B","R$ 33,199,343.73","R$ 36,111,660.54","8868"
"Artur Nogueira","Região Administrativa de Campinas","2017","Médio","C","B+","C","C+","B+","B+","C+","C+","R$ 140,401,656.95","R$ 141,937,105.00","51986"
"Artur Nogueira","Região Administrativa de Campinas","2015","Médio","B","B+","B+","B","B+","B+","B","B+","R$ 120,672,877.68","R$ 122,884,596.18","48899"
"Artur Nogueira","Região Administrativa de Campinas","2014","Médio","B","B+","B+","B","B+","B+","B","B+","R$ 118,119,980.87","R$ 110,482,033.52","47893"
"Artur Nogueira","Região Administrativa de Campinas","2016","Médio","B","B+","C","B","B+","B+","C+","B","R$ 127,466,548.05","R$ 138,190,075.43","49620"
"Arujá","Região Metropolitana de São Paulo","2014","Médio","B+","B+","C","B+","B","C","B+","B","R$ 217,121,895.21","R$ 216,825,053.03","80841"
"Arujá","Região Metropolitana de São Paulo","2015","Médio","B","B+","C","B+","B","C+","B+","B","R$ 225,826,599.83","R$ 223,601,595.89","82437"
"Arujá","Região Metropolitana de São Paulo","2017","Médio","C+","B","C","B","B","B","B+","C","R$ 258,674,963.64","R$ 247,386,936.64","86430"
"Arujá","Região Metropolitana de São Paulo","2016","Médio","B+","B+","C","B+","B","C+","B+","B","R$ 246,409,967.45","R$ 246,262,933.57","83849"
"Aspásia","Região Administrativa de São José do Rio Preto","2014","Muito Pequeno","B","B+","B+","B+","B+","C","C","B","R$ 11,075,264.97","R$ 11,135,487.27","1791"
"Aspásia","Região Administrativa de São José do Rio Preto","2016","Muito Pequeno","B","B+","C+","B","B+","C","C","C","R$ 12,210,675.12","R$ 11,610,224.96","1782"
"Aspásia","Região Administrativa de São José do Rio Preto","2017","Muito Pequeno","C","B","B+","C","B+","C","C","C","R$ 13,220,674.47","R$ 13,472,523.12","1842"
"Aspásia","Região Administrativa de São José do Rio Preto","2015","Muito Pequeno","B+","A","B+","B","B+","C","C","B+","R$ 10,070,791.23","R$ 10,321,935.55","1786"
"Assis","Região Administrativa de Marília","2014","Médio","A","B","B+","B+","B","C","C+","B+","R$ 244,336,068.39","R$ 229,662,121.34","97738"
"Assis","Região Administrativa de Marília","2015","Médio","B","B+","B","B","B","C","B","B","R$ 261,103,225.84","R$ 249,264,258.54","98415"
"Assis","Região Administrativa de Marília","2016","Médio","B","B+","B","B","C+","C","B","B","R$ 293,243,491.48","R$ 262,012,501.36","99001"
"Assis","Região Administrativa de Marília","2017","Médio","B+","B+","C+","C+","B","C","B","B","R$ 334,713,025.75","R$ 289,621,560.46","102924"
"Atibaia","Região Administrativa de Campinas","2016","Médio","A","B+","C","B+","B+","B+","B","B+","R$ 422,011,879.29","R$ 416,640,982.28","134652"
"Atibaia","Região Administrativa de Campinas","2017","Médio","B+","B+","C","B","B+","B+","B","B","R$ 456,492,718.46","R$ 465,279,380.24","139683"
"Atibaia","Região Administrativa de Campinas","2014","Médio","A","A","C","B+","B+","A","B","B+","R$ 377,010,986.72","R$ 385,328,389.28","132017"
"Atibaia","Região Administrativa de Campinas","2015","Médio","B+","B","B+","B+","A","B+","B","B+","R$ 391,512,563.24","R$ 405,824,453.83","133442"
"Auriflama","Região Administrativa de Araçatuba","2015","Pequeno","B+","A","B","B","C","C","B","B","R$ 33,455,464.30","R$ 33,146,020.89","14366"
"Auriflama","Região Administrativa de Araçatuba","2014","Pequeno","B+","B+","B","B","C+","C","B","B","R$ 32,469,745.78","R$ 35,194,616.07","14331"
"Auriflama","Região Administrativa de Araçatuba","2016","Pequeno","B+","B+","C+","B+","C","C","B","B","R$ 38,403,119.65","R$ 37,370,925.38","14387"
"Auriflama","Região Administrativa de Araçatuba","2017","Pequeno","B","C+","C","B","C","C","C","C+","R$ 38,955,099.11","R$ 39,070,899.07","15085"
"Avanhandava","Região Administrativa de Araçatuba","2017","Pequeno","C+","B","C","C+","B+","C","C","C+","R$ 44,128,975.49","R$ 41,722,295.87","13112"
"Avanhandava","Região Administrativa de Araçatuba","2015","Pequeno","B+","B+","C","B","B+","C","C","B","R$ 29,379,695.44","R$ 29,830,040.68","11707"
"Avanhandava","Região Administrativa de Araçatuba","2014","Pequeno","A","B","C","B","B+","C","C+","B","R$ 28,322,290.96","R$ 28,295,048.42","11621"
"Avanhandava","Região Administrativa de Araçatuba","2016","Pequeno","B+","B+","C","B","B","C","C","B","R$ 36,920,106.63","R$ 36,313,286.88","11787"
"Avaré","Região Administrativa de Sorocaba","2015","Médio","B+","C+","C","B","C+","B","B","C+","R$ 260,647,574.76","R$ 252,057,228.00","85384"
"Avaré","Região Administrativa de Sorocaba","2017","Médio","B","C+","C","B","C","B+","B","C+","R$ 286,996,378.84","R$ 278,557,279.56","89479"
"Avaré","Região Administrativa de Sorocaba","2014","Médio","B+","B","C","C+","B","B+","B+","B","R$ 230,570,159.70","R$ 226,382,742.70","84876"
"Avaré","Região Administrativa de Sorocaba","2016","Médio","B+","B","C","C+","B","B+","B","B","R$ 289,448,340.11","R$ 274,251,257.01","85810"
"Avaí","Região Administrativa de Bauru","2014","Pequeno","B+","B+","B","B","C","C","C","B","R$ 18,277,043.55","R$ 19,983,189.13","5092"
