Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Altair;Região Administrativa de Barretos;Barretos;480;3.815;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4;433;1,5;609;CAIU
Altinópolis;Região Administrativa de Ribeirão Preto;Ribeirão Preto;336;15.607;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1864;22/05/2013;Regula o acesso a informações previsto no inciso XXXIII do artigo 5º da Constituição Federal, conforme as normas gerais emanadas da Lei Federal nº 12.527, de 18 de novembro de 2011.;Sim;Autoridade Gestora;Chefe do Executivo ou autoridade máxima dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta e indiretamente pelo Município.;Não há;Não há;Sim;Sim;Sim;Não determinada: Local Próprio para Atendimento. Todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta e indiretamente pelo Município.;6,6;115;8,8;42;SUBIU
Alto Alegre;Região Administrativa de Araçatuba;Araçatuba;489;4.102;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;2118;13/12/2016;Dispõe sobre o acesso à informações previsto no inciso XXXIII do art. 5º, no inciso II do §3º do art. 37 e no §2º do art. 216 da Constituição Federal e na Lei Federal 12.527, de 18 de novembro de 2011, cria o serviço de informações ao cidadão no âmbito municipal e dá outras providências.;Sim;Autoridade que exarou a decisão impugnada;Comissão Mista de Reavaliação de Informações;Não há;Não há;Sim;Não;Sim;Prefeitura Municipal: Praça Manoel Gomes da Pena, 42 (recebe, autua e processa os pedidos).;6,3;155;2,7;576;CAIU
Alumínio;Região Administrativa de Sorocaba;Sorocaba;78;16.839;Pequeno 1;Sim;Lei;246;18/12/1995;Possui Arquivo Publico;Seção de Protocolo e Arquivo;Secretaria Geral da Prefeitura;;;;;;;Lei;246;18/12/1995;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,9;206;7,5;141;SUBIU
Álvares Florence;Região Administrativa de São José do Rio Preto;Votuporanga;552;3.897;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5;322;3,9;515;CAIU
Álvares Machado;Região Administrativa de Presidente Prudente;Presidente Prudente;570;23.513;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;2863;13/04/2015;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Prédio da Prefeitura localizado na Praça da Bandeira, s/nº.;5,9;206;5,9;336;IGUAL
Álvaro de Carvalho;Região Administrativa de Marília;Marília;423;4.650;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,4;489;6,6;256;SUBIU
Alvinlândia;Região Administrativa de Marília;Marília;413;3.000;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,2;405;7,5;141;SUBIU
Americana;Região Administrativa de Campinas;Campinas;126;210.638;Grande;Sim;Lei;2356;02/03/1990;Possui Arquivo Publico;Arquivo Histórico do Município de Americana;Secretaria Municipal de Administração;Avenida Cillos, 2295;Cidade Jardim;13465-000;(19) 3461-8125;arquivogeral@americana.sp.gov.br;;Lei;2356;02/03/1990;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;10095;30/04/2013;Regulamenta LAI.;Sim;Autoridade Superior a quem proferiu a resposta.;Comissão de Acesso à Informação;Não há;Não há;Sim;Sim;Sim;Unidade de Serviços Gerais (Protocolo), autarquias e Fundação de Saúde.;2,8;534;7,4;149;SUBIU
Américo Brasiliense;Região Administrativa Central;Araraquara;299;34.478;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,6;361;7,2;172;SUBIU
Américo de Campos;Região Administrativa de São José do Rio Preto;Votuporanga;539;5.706;Pequeno 1;Não;;;;;Arquivo Público;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;2653;22/01/2015;Lei de Acesso regulamentada;Sim;Autoridade Responsável pela Unidade Administrativa a que o SIC estiver subordinado.;Não há;Não há;Não há;Não;Sim;Sim;Paço Municipal (estrutura física) e cada um dos órgãos e entidades da Administração Direta e Indireta do Poder Executivo Municipal (deverão protocolizar os pedidos).;7;60;8,5;60;SUBIU
Amparo;Região Administrativa de Campinas;Bragança Paulista;138;65.829;Médio;Sim;Lei;3052;09/12/2004;Dispõe sobre a criação da Fundação Pró-Memória de Amparo;Fundação Pró-Memória - Arquivo Público;Conselho Municipal de Defesa do Patrimônio Cultural;Avenida Bernadino de Campo, 705;Centro;13900-400;(19) 3817-9300 ;;;Lei;3052;09/12/2004;Dispõe sobre a criação da Fundação Pró-Memória de Amparo;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4,5;375;8,6;55;SUBIU
Analândia;Região Administrativa de Campinas;Rio Claro;236;4.293;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,5;265;5,5;371;IGUAL
Andradina;Região Administrativa de Araçatuba;Andradina;630;55.334;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,6;252;5,8;344;SUBIU
Angatuba;Região Administrativa de Itapeva;Itapeva;213;22.210;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;16;23/05/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada;Comissão de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sede da Prefeitura Municipal: Rua joão Lopes Filho, 120.;4,5;375;3,4;548;CAIU
Anhembi;Região Administrativa de Sorocaba;Botucatu;232;5.653;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2036;22/09/2015;Lei de Acesso regulamentada;Sim;Autoridade Gestora Municipal (Chefe de Ouvidoria do Município).;Comissão Mista de Reavaliação de Informações;Não há;Não há;Sim;Sim;Sim;Não determinada: Vinculado ao Departamento de Administração (recebe, autua, processa e presta as respostas referentes aos pedidos).;3,4;489;2,1;595;CAIU
Anhumas;Região Administrativa de Presidente Prudente;Presidente Prudente;552;3.738;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;2,3;569;3,9;515;SUBIU
Aparecida;Região Administrativa de São José dos Campos;Guaratinguetá;171;35.007;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;3837;03/06/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sede do Paço Municipal.;6,1;178;3,3;553;CAIU
Aparecida d'Oeste;Região Administrativa de São José do Rio Preto;Jales;645;4.450;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,9;76;4;509;CAIU
Apiaí;Região Administrativa de Itapeva;Itapeva;322;25.191;Pequeno 2;Sim;Lei;34;17/10/2013;Cria Arquivo Municipal;Arquivo Público Municipal;Secretaria de Administração Pública Municipal;;;;;;;Lei;34;17/10/2013;Cria Arquivo Municipal;;;;;;;;;;;;;Não;;;;;;Não;;;;;;"Lei Municipal nº 34/2013, de 17/10/2013, que ""Cria o Arquivo Público Municipal de Apiaí e dá outras providências"" (ver Art. 5º, Inciso IX). Esta lei também estabelece Comissão de Avaliação e prevê Tabela de Temporalidade.";Sim;Não;Não;Não;;Sim;Lei;89;25/08/2014;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sede da Prefeitura e Câmara Municipal.;5,6;252;5,3;399;CAIU
Araçariguama;Região Administrativa de Sorocaba;Sorocaba;54;17.080;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,9;524;5,5;371;SUBIU
Araçatuba;Região Administrativa de Araçatuba;Araçatuba;524;181.579;Grande;Não;;;;;Arquivo Geral da Prefeitura;Secretaria de Governo e Gestão;Rua Rangel Pestana, 500;Centro;16050-270;(18) 3625-2264;;;;;;;;;;;;;;;;;;;Não;;;;;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. A Lei nº 5486, de 1999, que autoriza o governo municipal a destruir papéis e doar a sucata resultante a uma associação de catadores pode induzir a um descarte indevido de documentos públicos.;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;7;60;7,3;160;SUBIU
Araçoiaba da Serra;Região Administrativa de Sorocaba;Sorocaba;120;27.299;Pequeno 2;Sim;Lei;1408;13/01/2005;Cria o Arquivo Municipal;Arquivo Público Municipal;Secretaria de Administração;Rua Pedro Nolasco, 120;;;(15) 3281-2292;fernandasib@yahoo.com.br;;Lei;1408;13/01/2005;Cria o Arquivo Municipal;;;;;;;;;;;;;Sim;Lei;1408;13/01/2005;Cria o Arquivo Municipal;;Não;;;;;;"O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. Lei 1408/2005, de 13/01/2005 prevê um ""CMA - Conselho Municipal de Arquivo"", que tem funções de CADA (ver art. 5º, art. 7º e seu parágrafo único).";Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;6,4;141;7;205;SUBIU
Aramina;Região Administrativa de Franca;Franca;453;5.152;Pequeno 1;Sim;Lei;909;26/08/2003;Possui Arquivo Publico;Arquivo Público Municipal;Gabinete do Prefeito;Rua Doutor Braulio de Andrade Junqueira, 795;Centro;14550-000;(16) 3752-1112;secretaria@aramina.sp.gov.br;;Lei;909;26/08/2003;Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;2,4;567;7,1;186;SUBIU
Arandu;Região Administrativa de Itapeva;Itapeva;273;6.123;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,7;350;5,6;362;SUBIU
Arapeí;Região Administrativa de São José dos Campos;Cruzeiro;298;2.493;Pequeno 1;Não;;;;;Arquivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;355;19/06/2013;Regulamenta LAI;Sim;Conselho Municipal de Transparência e Controle Social;Chefe do Executivo;Não há;Não há;Sim;Sim;Sim;Não determinada: coordenado pelo Conselho Municipal de Transparência e Controle Social (protocolo próprio).;5,8;221;8,3;72;SUBIU
Araraquara;Região Administrativa Central;Araraquara;288;208.662;Grande;Sim;Lei;5599;21/03/2001;Cria o Arquivo Público Histórico;Arquivo Público Histórico Professor Rodolpho Telarolli;Secretaria Municipal de Cultura;Rua São Bento, 909 - Casa da Cultura;Centro;14801-301;(16) 3332-2212;;http://www.araraquara.sp.gov.br/secretariacultura/index.asp;Lei;5599;21/03/2001;Cria o Arquivo Público Histórico;;;;;;;;;;;;;Sim;Portaria;19749;01/12/2009;;;Sim;;;;;;Decreto nº 9.904, de 23/11/2011, que “Oficializa o Quadro de Classificação Funcional, as Tabelas de Temporalidade e dá outras providências”.;Sim;Não;Não;Não;;Sim;Lei;7918;08/04/2013;Regulamenta LAI;Sim;Autoridade Hierarquicamente Superior à que exarou a decisão impugnada.;Controladoria-Geral do Município;Comissão Municipal de Acesso à Informação;Não há;Sim;Sim;Sim;Não determinada: Todos os órgãos e entidades do Poder Público (recebem e protocolizam os requerimentos).;7,3;41;8,2;83;SUBIU
Araras;Região Administrativa de Campinas;Limeira;189;118.843;Grande;Sim;Lei;4153;14/05/2008;Cria Arquivo Público Municipal;Arquivo Público Municipal;Gabinete do Prefeito;Rua Pedro Álvares Cabral, 83;Centro;13600-790;(19) 3547-3042;;;Lei;4153;14/05/2008;Cria Arquivo Público Municipal;;;;;;;;;;;;;Sim;Lei;4153;14/05/2008;Cria Arquivo Público Municipal;;Não;;;;;;"O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. Lei Municipal nº 4.153, de 14/05/2008, que ""Dispõe sobre a criação do arquivo público municipal e dá outras providências"" (ver Art. 3º, VI, e Art. 8º e 9º, sobre criação da CADA).";Sim;Não;Não;Não;Sim;Sim;Lei;4797;21/10/2015;Lei de Acesso Regulamentada;Sim;Autoridade Gestora Municipal;Chefe do Poder Executivo, ao Presidente da Mesa Diretora da Câmara Municipal ou à autoridade máxima dos órgãos da administração pública municipal direta e indireta dos Poderes Executivo e Legislativo.;Não há;Não há;Sim;Sim;Sim;Todos os órgãos da administração pública municipal direta e indireta dos Poderes Executivo e Legislativo.;8,3;9;9,2;25;SUBIU
Arco-Íris;Região Administrativa de Marília;Tupã;538;1.925;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4;433;5,3;399;SUBIU
Arealva;Região Administrativa de Bauru;Bauru;360;7.841;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3;515;3;568;IGUAL
Areias;Região Administrativa de São José dos Campos;Cruzeiro;246;3.696;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;4;433;6,9;217;SUBIU
Areiópolis;Região Administrativa de Sorocaba;Botucatu;264;10.579;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2;583;3,9;515;SUBIU
Ariranha;Região Administrativa de São José do Rio Preto;Catanduva;393;8.547;Pequeno 1;Não;;;;;Arquivo Municipal;;Rua Doutor Oliveira Neves, 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2531;07/08/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Rua Dr. Oliveira Neves, 476.;4,7;350;3,9;515;CAIU
